Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
43,"Z Jia, C Huang, Z Wang, H Fei, S Wu…","Finger recovery transformer: Toward better incomplete fingerprint identification",2024,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10572016/","https://scholar.google.com/scholar?cites=1506524117306615462&as_sdt=2005&sciodt=2007&hl=en",11,"2026-09-22 08:41:33","","","",,,,,,43,21.50,7,6,2,"… Furthermore, to further regulate the determinacy of fingerprint generation, we introduce a … More importantly, we introduce key identity recognition features from the fingerprint domain, …","https://ieeexplore.ieee.org/iel8/10206/10319981/10572016.pdf","https://scholar.google.com/scholar?q=related:pqae6bM_6BQJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
36,"AFY Althabhawee, B Alwawi","Fingerprint recognition based on collected images using deep learning technology",2022,"IAES International Journal of Artificial Intelligence","","","https://scholar.google.com/scholar?cites=16532861634516701094&as_sdt=2005&sciodt=2007&hl=en",12,"2026-09-22 08:41:33","CITATION","","",,,,,,36,9.00,18,2,4,"","","https://scholar.google.com/scholar?q=related:pk8Nzg-GcOUJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
69,"J Priesnitz, R Huesmann, C Rathgeb, N Buchmann…","Mobile contactless fingerprint recognition: implementation, performance and usability aspects",2022,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/22/3/792","https://scholar.google.com/scholar?cites=18374207463390393850&as_sdt=2005&sciodt=2007&hl=en",13,"2026-09-22 08:41:33","HTML","","",,,,,,69,17.25,14,5,4,"… A conglomerate technique for finger print recognition using phone camera captured images. In Proceedings of the International Conference on Power, Control, Signals and …","https://www.mdpi.com/1424-8220/22/3/792","https://scholar.google.com/scholar?q=related:-jW3VFZM_v4J:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
35,"M Kumar, S Kumar, M Gulhane…","Deep Neural Network-Based Fingerprint Reformation for Minimizing Displacement",2023,"… on System Modeling …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10428379/","https://scholar.google.com/scholar?cites=11232281151796389670&as_sdt=2005&sciodt=2007&hl=en",14,"2026-09-22 08:41:33","","","",,,,,,35,11.67,9,4,3,"… displacement, caused by factors such as skin elasticity and pressure during touch, has been a significant challenge in achieving precise fingerprint recognition both during the …","","https://scholar.google.com/scholar?q=related:JqcjRjIU4ZsJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
37,"J Kolberg, J Priesnitz, C Rathgeb…","Colfispoof: A new database for contactless fingerprint presentation attack detection research",2023,"2023 IEEE/CVF Winter …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10031150/","https://scholar.google.com/scholar?cites=764664134549209955&as_sdt=2005&sciodt=2007&hl=en",15,"2026-09-22 08:41:33","","","",,,,,,37,12.33,9,4,3,"… Most notably, all attack presentations are captured with an automatic contactless fingerprint recognition workflow, which includes several quality control algorithms. This ensures that the …","https://openaccess.thecvf.com/content/WACV2023W/MAP-A/papers/Kolberg_COLFISPOOF_A_New_Database_for_Contactless_Fingerprint_Presentation_Attack_Detection_WACVW_2023_paper.pdf","https://scholar.google.com/scholar?q=related:Y4NJoPqhnAoJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
81,"Y Yu, Q Niu, X Li, J Xue, W Liu, D Lin","A review of fingerprint sensors: Mechanism, characteristics, and applications",2023,"Micromachines","mdpi.com","https://www.mdpi.com/2072-666X/14/6/1253","https://scholar.google.com/scholar?cites=8712237039052082642&as_sdt=2005&sciodt=2007&hl=en",16,"2026-09-22 08:41:33","HTML","","",,,,,,81,27.00,14,6,3,"… In the realm of biometric recognition, fingerprint recognition has gained success with its … the key to the fingerprint recognition process. The fingerprint recognition process relies mainly on …","https://www.mdpi.com/2072-666X/14/6/1253","https://scholar.google.com/scholar?q=related:0k2zd20V6HgJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
532,"LC Jain, U Halici, I Hayashi, SB Lee, S Tsutsui","Intelligent biometric techniques in fingerprint and face recognition",2022,"","books.google.com","https://books.google.com/books?hl=en&lr=&id=rBdYEAAAQBAJ&oi=fnd&pg=PP1&dq=finger+print+recognition&ots=5qFyKsqxbc&sig=0cTJ1lttw_rcHRRT4CgcZjmZzn8","https://scholar.google.com/scholar?cites=2872135259461310385&as_sdt=2005&sciodt=2007&hl=en",17,"2026-09-22 08:41:33","BOOK","","",,,,,,532,133.00,106,5,4,"… are used to represent ridge curves, which is useful for compression of finger print images. … to the fingerprint and face recognition and analysis. The chapters on fingerprint recognition …","","https://scholar.google.com/scholar?q=related:sdcQH83f2ycJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
120,"H Ren, L Sun, J Guo, C Han","A dataset and benchmark for multimodal biometric recognition based on fingerprint and finger vein",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9775730/","https://scholar.google.com/scholar?cites=15999497339981936361&as_sdt=2005&sciodt=2007&hl=en",18,"2026-09-22 08:41:33","","","",,,,,,120,30.00,30,4,4,"… However, multimodal fingerprint and finger vein recognition … of fingerprint recognition and finger vein recognition by 10.61% … recognition system based on fingerprint and finger vein can …","","https://scholar.google.com/scholar?q=related:6TZuzg-iCd4J:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
52,"SB Abdullahi, ZA Bature, P Chophuk…","Sequence-wise multimodal biometric fingerprint and finger-vein recognition network (STMFPFV-Net)",2023,"Intelligent Systems with …","Elsevier","https://www.sciencedirect.com/science/article/pii/S2667305323000819","https://scholar.google.com/scholar?cites=11692829678904146551&as_sdt=2005&sciodt=2007&hl=en",19,"2026-09-22 08:41:33","HTML","","",,,,,,52,17.33,13,4,3,"… This section discussed the existing works on biometric hand finger recognition which can be described into the recognition methods and the biometric input modalities. The recognition …","https://www.sciencedirect.com/science/article/pii/S2667305323000819","https://scholar.google.com/scholar?q=related:d_o5RqRGRaIJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
55,"AJ Mohamed Abdul Cader, J Banks, V Chandran","Fingerprint systems: Sensors, image acquisition, interoperability and challenges",2023,"Sensors","mdpi.com","https://www.mdpi.com/1424-8220/23/14/6591","https://scholar.google.com/scholar?cites=1738588417327929794&as_sdt=2005&sciodt=2007&hl=en",20,"2026-09-22 08:41:33","HTML","","",,,,,,55,18.33,18,3,3,"… A general fingerprint recognition pipeline consists of a … fingerprint recognition pipeline, particularly sensors, image acquisition and feature representation. Present reviews in fingerprint …","https://www.mdpi.com/1424-8220/23/14/6591","https://scholar.google.com/scholar?q=related:wplwQfS0IBgJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
36,"Z Cui, J Feng, J Zhou","Monocular 3D fingerprint reconstruction and unwarping",2023,"IEEE Transactions on Pattern Analysis …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/document/10005833/","https://scholar.google.com/scholar?cites=2844785754047421314&as_sdt=2005&sciodt=2007&hl=en",21,"2026-09-22 08:41:33","","","",,,,,,36,12.00,12,3,3,"… To the best of our knowledge, this is the first monocular 3D fingerprint reconstruction algorithm for … Kim, “A new scheme for touchless fingerprint recognition system,” in Proc. Int. Symp. …","https://arxiv.org/pdf/2205.00967","https://scholar.google.com/scholar?q=related:gpsWLJK1eicJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
41,"D Zhang, J Zhang, Y Bu, B Chen…","A survey of browser fingerprint research and application",2022,"… and Mobile Computing","Wiley Online Library","https://onlinelibrary.wiley.com/doi/abs/10.1155/2022/3363335","https://scholar.google.com/scholar?cites=18215197413634505236&as_sdt=2005&sciodt=2007&hl=en",22,"2026-09-22 08:41:33","","10.1155/2022/3363335","",,,,,,41,10.25,8,5,4,"… Section 1 introduces the background of browser fingerprinting, … a web browser fingerprint recognition technology based on … [30] proposed a time-based device fingerprint recognition, …","https://onlinelibrary.wiley.com/doi/pdf/10.1155/2022/3363335","https://scholar.google.com/scholar?q=related:FHpMGYphyfwJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
31,"ABV Wyzykowski, AK Jain","Synthetic latent fingerprint generator",2023,"2023 IEEE/CVF Winter Conference …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10030917/","https://scholar.google.com/scholar?cites=4492121812397660836&as_sdt=2005&sciodt=2007&hl=en",23,"2026-09-22 08:41:33","","","",,,,,,31,10.33,16,2,3,"… [23] demonstrates the challenges posed by such variations in latent fingerprint recognition … First, in Section 3.3.1, we detail our approach to clustering latent fingerprints. Then, Section …","https://arxiv.org/pdf/2208.13811","https://scholar.google.com/scholar?q=related:pBq_8_w4Vz4J:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
108,"JJ Engelsma, S Grosz, AK Jain","PrintsGAN: Synthetic fingerprint generator",2022,"IEEE Transactions on Pattern …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9893541/","https://scholar.google.com/scholar?cites=4743239737974553474&as_sdt=2005&sciodt=2007&hl=en",24,"2026-09-22 08:41:33","","","",,,,,,108,27.00,36,3,4,"… the face recognition community and that lamentably remain elusive to fingerprint recognition … tional datasets, we demonstrate that our synthetic fingerprints model the intra-class and inter…","https://arxiv.org/pdf/2201.03674","https://scholar.google.com/scholar?q=related:gnt9Mmlf00EJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
70,"Y Zhu, X Yin, J Hu","FingerGAN: A constrained fingerprint generation scheme for latent fingerprint enhancement",2023,"IEEE Transactions on Pattern Analysis and …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/document/10016755/","https://scholar.google.com/scholar?cites=2572648019939184364&as_sdt=2005&sciodt=2007&hl=en",25,"2026-09-22 08:41:33","","","",,,,,,70,23.33,23,3,3,"… formulates latent fingerprint enhancement as a constrained fingerprint generation problem … for fingerprint recognition and minutia can be retrieved directly from the fingerprint skeleton …","https://ieeexplore.ieee.org/iel7/34/10144448/10016755.pdf","https://scholar.google.com/scholar?q=related:7E6WYL7hsyMJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
36,"F Saeed, M Hussain, HA Aboalsamh","Automatic fingerprint classification using deep learning technology (DeepFKTNet)",2022,"Mathematics","mdpi.com","https://www.mdpi.com/2227-7390/10/8/1285","https://scholar.google.com/scholar?cites=9531837548433413618&as_sdt=2005&sciodt=2007&hl=en",26,"2026-09-22 08:41:33","HTML","","",,,,,,36,9.00,12,3,4,"… A fingerprint’s surface has ridges and valleys, which do not change during a … Fingerprint recognition can be used for authentication or identifying purposes. In verification, the fingerprint …","https://www.mdpi.com/2227-7390/10/8/1285","https://scholar.google.com/scholar?q=related:8pUam7_jR4QJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
46,"S Bakheet, S Alsubai, A Alqahtani, A Binbusayyis","Robust fingerprint minutiae extraction and matching based on improved SIFT features",2022,"Applied Sciences","mdpi.com","https://www.mdpi.com/2076-3417/12/12/6122","https://scholar.google.com/scholar?cites=9545859726972572917&as_sdt=2005&sciodt=2007&hl=en",27,"2026-09-22 08:41:33","HTML","","",,,,,,46,11.50,12,4,4,"… role as core components of automated fingerprint recognition (AFR) … to each fingerprint and differentiate one fingerprint from … fingerprint recognition, facial identification, voice recognition …","https://www.mdpi.com/2076-3417/12/12/6122","https://scholar.google.com/scholar?q=related:9VToddi0eYQJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
50,"L Huang, H Cao, L Chen, Y Ma, Y Yang, X Liu, W Wang…","Terahertz reconfigurable metasensor for specific recognition multiple and mixed chemical substances based on AIT fingerprint enhancement",2024,"Talanta","Elsevier","https://www.sciencedirect.com/science/article/pii/S0039914023012328","https://scholar.google.com/scholar?cites=16549171879721439587&as_sdt=2005&sciodt=2007&hl=en",28,"2026-09-22 08:41:33","","","",,,,,,50,25.00,6,8,2,"… This work opens the way to multiple THz fingerprint trace detection and provides potential platforms for specific biomarker recognition in biomedical and environment applications. …","","https://scholar.google.com/scholar?q=related:YxGusSR4quUJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
71,"H Chen, R Ma, M Zhang","Recent progress in visualization and analysis of fingerprint level 3 features",2022,"ChemistryOpen","Wiley Online Library","https://chemistry-europe.onlinelibrary.wiley.com/doi/abs/10.1002/open.202200091","https://scholar.google.com/scholar?cites=17889553978946379945&as_sdt=2005&sciodt=2007&hl=en",29,"2026-09-22 08:41:33","","10.1002/open.202200091","",,,,,,71,17.75,24,3,4,"… Commonly, fingerprints left at crime scenes are invisible to … utilized for problematic fingerprint (recognition and even donor … level 3 details for fingerprint recognition, especially for those …","https://chemistry-europe.onlinelibrary.wiley.com/doi/pdf/10.1002/open.202200091","https://scholar.google.com/scholar?q=related:qWBGmY92RPgJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
45,"T Nihar, K Yeswanth…","Blood group determination using fingerprint",2024,"MATEC Web of …","matec-conferences.org","https://www.matec-conferences.org/articles/matecconf/abs/2024/04/matecconf_icmed2024_01069/matecconf_icmed2024_01069.html","https://scholar.google.com/scholar?cites=10097265904801546523&as_sdt=2005&sciodt=2007&hl=en",30,"2026-09-22 08:41:33","","","",,,,,,45,22.50,15,3,2,"… [3] This study provides an effective method for fingerprint recognition and identification … to gather finger prints and map them to their blood groups. Either fingerprint sensor devices can …","https://www.matec-conferences.org/articles/matecconf/pdf/2024/04/matecconf_icmed2024_01069.pdf","https://scholar.google.com/scholar?q=related:GwFcwtexIIwJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
35,"M Kumar, A Tiwari, S Choudhary…","Enhancing fingerprint security using CNN for robust biometric authentication and spoof detection",2023,"2023 3rd …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10390294/","https://scholar.google.com/scholar?cites=7200638496261478769&as_sdt=2005&sciodt=2007&hl=en",31,"2026-09-22 08:41:33","","","",,,,,,35,11.67,9,4,3,"… The categorization and identification of fingerprints are the two main components of our fingerprint spoofing method. While the recognition module recognizes the input fingerprint, the …","","https://scholar.google.com/scholar?q=related:cRmrzY_O7WMJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
29,"KP Wijewardena, SA Grosz, K Cao…","Fingerprint template invertibility: Minutiae vs. deep templates",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9987483/","https://scholar.google.com/scholar?cites=406521398887984732&as_sdt=2005&sciodt=2007&hl=en",32,"2026-09-22 08:41:33","","","",,,,,,29,7.25,7,4,4,"… for fingerprint recognition, there are alternative fingerprint rep… for fingerprint representation proposed by Engelsma et al. [2]. DeepPrint is able to produce highly discriminative fingerprint …","","https://scholar.google.com/scholar?q=related:XC5Q9g5BpAUJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
148,"X He, C Fan, Y Luo, T Xu, X Zhang","Flexible microfluidic nanoplasmonic sensors for refreshable and portable recognition of sweat biochemical fingerprint",2022,"npj Flexible Electronics","nature.com","https://www.nature.com/articles/s41528-022-00192-6","https://scholar.google.com/scholar?cites=12366789699946373632&as_sdt=2005&sciodt=2007&hl=en",33,"2026-09-22 08:41:33","HTML","","",,,,,,148,37.00,30,5,4,"… portable recognition fingerprint … recognition of the spectroscopic signatures of sweat biomarkers. This study integrates epidermal microfluidics with portable SERS molecular recognition, …","https://www.nature.com/articles/s41528-022-00192-6","https://scholar.google.com/scholar?q=related:AGJDxbWpn6sJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
17,"A Shoshan, N Bhonker, E Ben Baruch…","FPGAN-control: A controllable fingerprint generator for training with synthetic data",2024,"Proceedings of the …","openaccess.thecvf.com","https://openaccess.thecvf.com/content/WACV2024/html/Shoshan_FPGAN-Control_A_Controllable_Fingerprint_Generator_for_Training_With_Synthetic_Data_WACV_2024_paper.html","https://scholar.google.com/scholar?cites=5260522364127241456&as_sdt=2005&sciodt=2007&hl=en",34,"2026-09-22 08:41:33","","","",,,,,,17,8.50,4,4,2,"… Second, we focus on the ability to train fingerprint recognition models on purely synthetic … as input to FPGAN-Control, generating 11 fingerprint images of the same identity, each having …","https://openaccess.thecvf.com/content/WACV2024/papers/Shoshan_FPGAN-Control_A_Controllable_Fingerprint_Generator_for_Training_With_Synthetic_Data_WACV_2024_paper.pdf","https://scholar.google.com/scholar?q=related:8GTN_jchAUkJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
45,"D Kothadiya, C Bhatt, D Soni, K Gadhe, S Patel…","Enhancing fingerprint liveness detection accuracy using deep learning: a comprehensive study and novel approach",2023,"Journal of …","mdpi.com","https://www.mdpi.com/2313-433X/9/8/158","https://scholar.google.com/scholar?cites=17451124341223486557&as_sdt=2005&sciodt=2007&hl=en",35,"2026-09-22 08:41:33","HTML","","",,,,,,45,15.00,8,6,3,"… Particular focus has been placed on direct attacks against the fingerprint recognition mechanism among the examined vulnerabilities. These attack techniques involve supplying a …","https://www.mdpi.com/2313-433X/9/8/158","https://scholar.google.com/scholar?q=related:XXTM2SDZLvIJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
63,"X Chen, D He, X Yan, W Yu…","GNSS interference type recognition with fingerprint spectrum DNN method",2022,"IEEE Transactions on …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/9760100/","https://scholar.google.com/scholar?cites=6114102737531710549&as_sdt=2005&sciodt=2007&hl=en",36,"2026-09-22 08:41:33","","","",,,,,,63,15.75,13,5,4,"… Second, the recognition accuracy of CNN methods is not yet … this article, an interference fingerprint spectrum (FPS) is first … is presented for the recognition of the fingerprint spectrum. This …","","https://scholar.google.com/scholar?q=related:VSzSvguo2VQJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
45,"N Verma, M Memoria, R Kumar…","Secure machine learning based transaction system using fingerprint authentication",2022,"… on Advances in …","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10009367/","https://scholar.google.com/scholar?cites=15210225478980369632&as_sdt=2005&sciodt=2007&hl=en",37,"2026-09-22 08:41:33","","","",,,,,,45,11.25,11,4,4,"… using new ways of transacting money, rest aren’t trusting those OTP &Captcha and in such instances, automated identity identification utilizing fingerprint recognition is a viable option. …","","https://scholar.google.com/scholar?q=related:4Hw4ZHyTFdMJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
129,"U Sumalatha, KK Prakasha, S Prabhu…","A comprehensive review of unimodal and multimodal fingerprint biometric authentication systems: Fusion, attacks, and template protection",2024,"IEEE access","ieeexplore.ieee.org","https://ieeexplore.ieee.org/abstract/document/10511051/","https://scholar.google.com/scholar?cites=8747175281727664374&as_sdt=2005&sciodt=2007&hl=en",38,"2026-09-22 08:41:33","","","",,,,,,129,64.50,32,4,2,"… and their comparisons, fingerprint recognition stands out as a … fingerprint biometric templates, and Section VIII highlights the different fusion methods applied to multimodal fingerprint …","https://ieeexplore.ieee.org/iel7/6287639/6514899/10511051.pdf","https://scholar.google.com/scholar?q=related:9nB0_5I1ZHkJ:scholar.google.com/&scioq=finger+print+recognition&hl=en&as_sdt=2007&as_ylo=2022"
